user_id,recipe_id,date,rating,review
2001676733,531712,2017/8/18,5,This is my third time making this recipe. It's yummy!
1803266070,507226,2014/10/25,5,Love it !   Will make this again.
2000496795,507226,2015/9/25,0,"This is the best butternut squash recipe ever, but it is even better by adding a teaspoon of allspice at the same time the half and half is added. Will make again soon!"
2001028411,507226,2016/5/28,5,So easy and never fails!! I add a little more stock and I have used just pumpkin before - equally as good!
136997,523426,2016/7/17,5,My husband says this is a keeper. Easy to prepare and took less than an hour.
369715,507198,2013/10/15,3,This was good and easy to make. I followed the recipe as written other then I used beef broth instead of water. This was a meaty and beany chili that but it  was missing something for us.
2000539634,512986,2015/10/9,1,"The standing ovation was for an ice cream I made while working at square one. This is not my original recipe, however. I always called it tootsie roll ice cream. I don&#039;t know why Joyce refers to this as hers.  The only difference in her recipe and mine was that I used half cream and half whole milk and bittersweet chocolate not semi-sweet. The standing ovation was not for this recipe."
265954,523223,2015/10/9,3,"This is a good starter recipe. I made as directed and thought it was missing something, maybe some diced onion and celery for crunch. With the barbecue sauce, this dish did not need the additional brown sugar, which made this a little too sweet for us. On the plus side, this is a quick and easy recipe to throw together when pressed for time."
2000462154,523223,2016/9/12,5,Quick and easy recipe. Absolutely love it.
226863,495322,2013/3/1,4,"This recipe makes a lot of sauce to go with the meat.  I really wanted mashed potatoes so served this over mashed potatoes instead of over the rice.  This turned out a bit sweet, so I think I'd half the amount of Pepsi and ketchup next time.  I'll also simmer a bit longer to allow the meat to get a bit more tender.  Overall, this tasted very good.  Thanks for posting, and good luck in the contest!"
131126,495322,2013/3/2,5,"I adapted the recipe to fit my day. The steak was breaded and fried early in the day and then set aside. Later that evening, the steak was placed in a foil lined pan sauce,  veggies were added, and the recipe baked uncovered for 50 minutes on 350 oven.  We found the steak was still fairly tough and it would have benefited for a longer cook time.  There was still loads of sauce and the recipe had enough onions and peppers.  The sauce thickened, has notes of celery seed, and a nice hint of tart from the ponzu. The meal was served with mixed colors of fingerling potatoes, garlic bread, and a green salad.  I wish I had followed the instructions though & stuck with the suggested rice.  I saved the leftover sauce to serve over potatoes later in the week.  <br/>Next time? I would use tenderized round for frying & increase the baking time.  Good luck in the contest!"
128473,502734,2013/7/15,5,"I really enjoyed the eggs prepared this way morgainegeiser.  It was quick and really easy with fantastic results.  The eggs were perfectly cooked and had a wonderful texture and flavor.  Thank you for sharing your recipe, it made for a delicious breakfast.  Made for ZWT9."
328048,502734,2013/7/17,0,Easy and delicious. I cooked my eggs 20 minutes to get them cooked through. Great flavor. The feta adds a nice touch.
1226388,502734,2013/7/18,5,"This was really great!  It was delicious, and fast and easy enough to be a quick weekday breakfast, and luxurious enough for a lazy weekend.  It was really tasty just as it was posted, and I would like to try it next time with some additions like sauteed veggies, or even some bacon.  Made for ZWT9"
133174,502734,2013/7/19,5,Made this for DH&#039;s breakfast this morning.  The butter was placed in the ramekin which was put into the oven while it preheated.  After butter melted the eggs were broken and placed into the ramekin then sprinkled with the feta.  Freshly ground black pepper was sprinkled over all.  The eggs required about an additional 4 minutes to cook to DH&#039;s liking.  This was served with butter toast.  Made for ZWT9.
383346,502734,2013/7/23,5,I baked them 12 minutes.  The white were cooked but the yolks were still runny.  It was great.  Thanks morgainegeiser :)  Made for ZWT 9
174096,502734,2013/7/27,5,"Yum, love this variation - the feta cheese really added a lot of great flavor.  I cooked about 12 minutes.  Thanks for sharing!  ZWT9"
286566,502734,2013/8/12,5,"Delicious though I did have an oops moment in that the timer did not go off so my eggs ended up cooked more than I would have liked but still the flavours were great.  Thank you morgaingeiser, made for Aussie/Kiwi Recipe Swap #79 August 2013."
480195,502734,2013/8/27,5,"This is a delicious way to serve eggs. My oven must run hot, because they were done in 10 minutes. I served them with sliced tomatoes, fresh from the garden. A wonderful breakfast. Thanks for sharing the recipe."
128473,511790,2014/5/2,4,"This was an interesting dish.  My dh &amp; I have never tried anything like this before.  It was a pleasant surprise. Quick and easy to make with a nice flavor.  I added a lot of hot pepper sauce to the beans, we like it hot.  We did prefer the beans the following day, the flavor of the sauce had permeated the meat more.  Thank you for sharing your recipe.  Made for Spring PAC 2014."
2876642,512630,2014/11/17,5,Really simple and delicious!  I use this recipe whenever I don&#039;t feel like doing much work for vegetables -and it&#039;s still very yummy!
2177426,512630,2018/2/3,5,"So simple and so good! I used pink salt, just because....LOL. The temp. and timing are perfect. Thank you Martha"
2708004,514512,2014/3/21,5,EVERYONE loved this salad!  It was so easy and so different.  I will definitely be making this again (and again!).
163112,493845,2013/9/14,5,"Ooh quick, easy &amp; utterly delicious!  I used a cast iron skillet to &#039;grill&#039; the figs.  I cut this down to 2 servings but added an extra fig.  ;)  Very nice serving size.  I left out the water &amp; used a splash extra orange blossom water instead.  It came through nicely but wasn&#039;t overpowering.  I basted the figs, lol, but in the end wished I hadn&#039;t.  When the figs were removed, I added the rest of the syrup to heat for just a moment before pouring it over the sundaes.  I wished I&#039;d had more syrup but I&#039;d used it basting.  DD &amp; I thoroughly enjoyed this treat &amp; I even got a pic for ya!  Made forrrr....Autumn NA/ME Tag  9/13.  :)  Thanks, A!"
47892,493845,2013/12/18,5,I tossed everything in the blender and blended for a full 2 minutes. *Yum*! My changes were I used dried figs (barhi figs) and I didn&#039;t grill them and added a small pinch of cardamom. Made for NA*ME tag Dec-Feb 2014.
1802656792,496008,2014/4/10,1,"Oh my goodness this was just plain awful. Even after 3 hours cooking, the rice is still hard and the tofu is chunky. &lt;br/&gt;Trying to save it by letting it cook longer. There HAS to be a step or three missing."
1803677434,510938,2015/1/18,5,"This was delicious.  I am not vegan, however, I do enjoy a lot of vegan recipes. To the mixture, I added kalamata olive tapenade for extra oomph. Other than that, I made as directed. Love, love, love the cashew spread! Will use this often. It&#039;s nice to take a break from animal products now and then. This recipe surly did the trick. Thanks Psalmsome!"
2001722458,533575,2017/9/20,5,This surprisingly worked out really good 5/5.
1803050408,518015,2014/8/19,5,"This was terrific.  the Polenta was creamy and rich, and the Turkey was tangy and Flavorful.  When i tried this dish i couldn&#039;t stop eating it, the two components of Polenta and Turkey would have stood on there own, but together it was really incredible.  I would have this again any day.  putting the recipe together was not hard at all and the results were great."
1803050779,518015,2014/8/19,5,Great Dish.....
1803051069,518015,2014/8/19,5,This recipe was a big hit!
1803055453,518015,2014/8/20,5,Good to the last bite......
1803056088,518015,2014/8/21,5,"This recipe is amazing! This dish has become my favorite food, which I would eat everyday, if possible. The creamy mascarpone polenta is a subtle contrast to the tangy A1 sauce. The savory turkey blends perfectly with the sauce and polenta."
1803058579,518015,2014/8/22,5,"As we say in Texas, this meal would make the rabbit hug a hound. I don&#039;t think this recipe would serve 8. I had 3 helpings all by myself."
1803062017,518015,2014/8/23,5,"My wife and I tried this and though I&#039;m not a good cook, it was fairly easy and very delicious and we will definitely have it again in the near future."
1803061344,518015,2014/8/26,0,The only thing wrong with this meal is I couldn&#039;t stop till i thought id bust. yep 3 servings later it was love at first bite  the Polenta and the turkey realty complement each other 5 yummms
1198627,518015,2014/8/26,5,Super Yummy! Who new A-1 was not just for steaks.
1803076811,518015,2014/8/27,5,Keep the leftovers. This dish is even good re-heated.
1803072039,518015,2014/8/28,5,The mixing it was a nice suggestion. Great recipe.
1803080660,518015,2014/8/30,5,This was a SUPER meal. Everyone should try it.
1803101057,518015,2014/9/3,5,"Someone made this dish for me, and it was really good. GOT to learn how to make it."
1803101652,518015,2014/9/3,5,"I had this dish at a company potluck, and it was terrific. Now I have the recipe, and can&#039;t wait to make it for my family."
1803108520,518015,2014/9/6,5,"Had this at a potluck. All the dishes were good, but this one received the &quot;Best Entree&quot; award."
1803109127,518015,2014/9/6,5,"My girlfriend and I prepared this for my family get together. Now my family wants me to marry&lt;br/&gt;Carmen so they can continue being served this delightful, creamy, delicious dish. If we do get married, this will be a holiday favorite. Kudos to the chef who created this recipe."
2545728,521583,2016/3/10,5,"What a great recipe! I add some jalape&ntilde;os on top at the end, just to give it an extra kick ;) This was so easy to make! I will be adding this to my monthly recipes!"
2734801,497251,2013/3/13,5,So easy to make and really good- great with just a salad
169430,499748,2013/5/16,5,This certainly isn&#039;t shy on the lemon and I love it! I used a good part of it to dress a potato salad in place of mayo that worked great. Would you believe that it&#039;s a wonderful fresh tasting salad dressing as well? lol. I used it also on a salad of simple mixed greens and they were elevated to something special. I used Meyer lemons by the way to make this simple and yummy dressing/vinaigrette.
2597942,499748,2013/6/30,5,"Just wanted to let you know that I just prepared your Lemon Dressing for tonight&#039;s dinner (I tagged it on PRMR). Anyway... I&#039;m going to use it as a marinade for our boneless skinless chicken breasts tonight. I was gonna toss them in the baggie with the dressing for a few hours, but the lemon is so strong, I&#039;m afraid it will start cooking the chicken in the fridge! LOL. I&#039;m only gonna marinate for 30 minutes before grilling them. That should be plenty.It tastes good so far... I will let you know how they turn out. UPDATE: This was perfect for a marinade for our chicken. I marinated them for approx 25-30 minutes. (I did not have fresh basil, so I used 2 teaspoons of dried from the shaker bottle and it worked well). Wonderful concoction, my dear! I will definately use this again! Thank you for posting your recipe."
2727323,497251,2013/3/11,5,These are a fantastic treat! Kids loved them
363055,497101,2013/3/11,5,"I liked this.  I was worried about the peanut butter, but I thought it tasted just right.  I used shrimp instead of chicken."
131126,497101,2013/4/13,5,"I enjoy the ease of  stir frys.  They make such a quick dinner.  This one didn&#039;t disappoint in speed or flavor.  I used red and green peppers, preshredded carrots, and threw in a drained can of bamboo shoots.  I added a half teaspoon of sesame oil to the sauce. The sauce is sweet and I liked the nutty flavor.   Made for Spring 2013 Pick A Chef."
1706426,503977,2013/7/23,5,"Quite good! I loved the splash of orange. I went very light on the cinnamon and sugar and it was just perfect. Thanks for sharing! Made for Ramadan, 2013"
1052873,503977,2013/8/22,5,"How can you go wrong with cinnamoned peaches? Tastes like peach pie, my favorite! Made for ZWT9."
804550,503977,2013/12/5,5,"I had to make this recipe using oranges as I chose the wrong time of year for peaches apparently. Anyway, I used navel oranges and it made for a very nice dessert. Made for NA*ME tag."
418718,514852,2014/3/25,5,your recipe sounds very good!
2201427,514852,2014/3/25,5,Sounds delicious ...... a must try..... 5 stars for sure!!
2198132,514852,2014/3/26,5,Sounds yummy!
2216338,514852,2014/3/27,5,sounds like a winner! sw?
2201870,514852,2014/3/28,5,Yum
2597942,513016,2014/5/11,4,"Made these cookie bars this afternoon to take to the neighbors cook-out / bon-fire this evening. These were very easy to put together and the flavor was pretty tasty. The texture was a bit strange, but I&#039;m assuming that is because it uses a cake mix. I will try making these again, and maybe skip the walnuts next time. Thanks for posting. (Made for PAC 2014)"
1802772108,506220,2014/5/26,5,wow they taste really good
305531,532629,2017/8/2,5,This was a hit at my house. Pretty easy and so good. It would be perfect with noodles to catch more of the sauce. Thanks for sharing Jackie. Made for CQ4.
107135,504394,2014/3/11,5,"first off, miss you girl. 2nd rudy mom makes these and shes czech , very good basic recipe  warm comfort food  made for pammyowls cookathon"
2909438,499120,2013/7/20,5,Good
285039,499120,2013/8/8,4,I had an average piece of salmon in the freezer and was looking for a nice salad recipe to use it up!  This salad was a fantastic way to do so!  I used Panera&#039;s Asian dressing instead of the one suggested.
452355,497999,2013/11/13,5,"This recipe is easy to make, and it is filling and flavorful.  I thought it had a nice amount of heat (besides the jalape&ntilde;o, I used a blend of Madras curry powder and hotter curry powder).  Ours did take quite a bit longer to thicken to a good consistency than what the recipe specified.  We served with garlic naan from Trader Joe&#039;s.  Thanks!"
1803650388,520769,2015/2/8,5,This chicken was so good and packed with flavor. I will recommend this to everyone!
2000170041,520769,2015/7/11,5,I am anxious to try!
